,2025-01-31
HGVU LN Equity,0
FLOT US Equity,107.101
00937B TT Equity,0
SCHI US Equity,2.161599999999993
IBTM LN Equity,-150.3422
00687B TT Equity,0
JNK US Equity,270.72259999999994
CSBGU7 SW Equity,39.0274
IHYG LN Equity,-69.05160000000001
BINC US Equity,81.14750000000001
SPPU GR Equity,2.8329
SPHY US Equity,47.5466
IAGG US Equity,0
TLH US Equity,140.5401
IEMB LN Equity,-21.2624
SPTI US Equity,11.2188
ECRP FP Equity,25.9036
ZAG CN Equity,-17.883000000000003
TFLO US Equity,45.595
SDIG LN Equity,-6.276300000000001
SHYG US Equity,17.228299999999997
FTSM US Equity,-11.9976
IDTL LN Equity,14.3654
DFCF US Equity,37.3582
GBIL US Equity,-16.036300000000004
FPE US Equity,5.3211
EUNH GR Equity,1.7729000000000001
XBB CN Equity,17.7297
SPTS US Equity,31.9883
SPMB US Equity,34.6835
IUAG LN Equity,9.2585
EPSTRINC CN Equity,0
BLV US Equity,27.691000000000003
SUOE LN Equity,-35.6316
IHYU LN Equity,33.43729999999999
ICSH US Equity,-27.8553
BOND US Equity,34.58
JCPB US Equity,101.84790000000001
SJNK US Equity,69.0286
TBIL US Equity,-7.0018
VWOB US Equity,0.0538
00751B TT Equity,0
JMBS US Equity,56.731
IGLT LN Equity,-11.036999999999999
LMBS US Equity,12.165700000000001
ITPS LN Equity,84.1417
00720B TT Equity,0
VDST LN Equity,13.9916
SE15 LN Equity,-17.9067
PGX US Equity,-61.8441
FIXD US Equity,-66.8953
VUSB US Equity,19.917499999999997
CWB US Equity,-16.0117
FLOT LN Equity,4.551500000000001
IGLS LN Equity,10.4149
VECP LN Equity,9.353
ERNE LN Equity,-38.9242
VAGS LN Equity,0.27190000000000025
CORP LN Equity,-3.0729999999999995
ISTB US Equity,19.198099999999997
BSCQ US Equity,14.592300000000002
CGCP US Equity,80.3923
CASH CN Equity,0.8645000000000005
00725B TT Equity,0
511520 CH Equity,37.505
CSBGU0 SW Equity,-43.418600000000005
BSCP US Equity,-9.2989
DFSD US Equity,30.611800000000002
00772B TT Equity,0
VETY LN Equity,0.49539999999999984
511380 CH Equity,47.6119
VAB CN Equity,4.826600000000001
SYBZ GR Equity,5.7821
XBLC GR Equity,13.383199999999999
VUCP LN Equity,1.9087999999999998
EDV US Equity,18.774499999999996
GGOV FP Equity,5.2054
XGLE GR Equity,-21.3405
EAGG US Equity,14.0213
QDVL GR Equity,76.12519999999999
2821 HK Equity,0
TOTL US Equity,0
HYLB US Equity,-3.683800000000005
511360 CH Equity,611.0455
BILS US Equity,-24.8702
CB3 FP Equity,43.0246
