,2025-01-24
DGS US Equity,1714.4483
LWCR GR Equity,1746.84115
UIMP GR Equity,1735.94197
APUE US Equity,1768.9905
CMU FP Equity,1737.29306
IWL US Equity,1727.2077
RDVI US Equity,1721.5194
NESG LN Equity,1695.5416
IYG US Equity,1706.2292
NULV US Equity,1695.4997
EXCH NA Equity,1956.9289
1474 JP Equity,1704.8038
FUTY US Equity,1657.3376
515330 CH Equity,
EEJD LN Equity,1711.5321
EFIV US Equity,1708.5566
XME US Equity,1636.0471
IYJ US Equity,1683.2815
SNPE US Equity,1692.8844
SENSEXIE IN Equity,
ACIO US Equity,1697.5466
MVW AU Equity,1668.34894
OIH US Equity,1615.3767
HDEF US Equity,1666.0468
XUFN GR Equity,1667.96255
XSOE US Equity,1661.308
278530 KS Equity,
FLIN US Equity,1691.3785
588050 CH Equity,
ACWI FP Equity,1676.9547
EJAP FP Equity,1657.52856
LOCK LN Equity,1671.8045
CWI US Equity,1653.1082
REGL US Equity,1626.5034
159629 CH Equity,
RPG US Equity,1659.7265
EQL CN Equity,1670.53296
KSMF80 IT Equity,1661.17937
SMLF US Equity,1632.893
2524 JP Equity,1639.4305
ICHN NA Equity,1578.9344
FXD US Equity,1609.7327
MSRUSA SW Equity,1605.9528
VXC CN Equity,1624.12846
FENY US Equity,1586.2418
LVHI US Equity,1599.1793
FUSA LN Equity,1620.9458
512690 CH Equity,
BMOGEAN CN Equity,
159928 CH Equity,
IAUP LN Equity,1579.1371
RSSL US Equity,1580.443608
PSGF65 IT Equity,1597.62429
HEDJ US Equity,1575.9976
NULG US Equity,1587.6925
BSVO US Equity,1575.2356
USRIH IM Equity,1569.4036
ZQQ CN Equity,1582.08986
SPISI SW Equity,1567.34387
CGDG US Equity,1563.00553
IEV US Equity,1559.7027
NSCE CN Equity,1565.87189
URNM US Equity,1623.3194
INFR LN Equity,1530.44814
QLTY US Equity,1561.639565
VEE CN Equity,1541.75828
FLQL US Equity,1542.9526
EWRD FP Equity,1517.259
NVDY US Equity,1572.2987
IPRP LN Equity,1516.90631
AVSC US Equity,1516.2667
SMMCHA SW Equity,1517.10494
VDPX LN Equity,1433.23517
SADU FP Equity,1544.2357
VCE CN Equity,1503.87371
ECN FP Equity,1481.24776
LCEUD FP Equity,1481.24776
ESGE FP Equity,1495.16815
XSD US Equity,1539.0887
XCS6 GR Equity,1456.58388
SPICHA SW Equity,1504.71607
RYLD US Equity,1489.5248
ETFDAX GR Equity,1510.50969
00662 TT Equity,
XSMO US Equity,1483.6164
CSINDU SW Equity,1516.3778
IGSU LN Equity,1490.1948
458730 KS Equity,
FXL US Equity,1494.984
EWA US Equity,1448.0337
UBUT GR Equity,1489.00696
SAUM LN Equity,1477.4623
CANCDA SW Equity,1475.55102
RSENSEX IN Equity,
PABW FP Equity,1483.16507
BIZD US Equity,1469.6026
VIOV US Equity,1447.0031
159977 CH Equity,
SX7PEX GR Equity,1469.42713
ZLU CN Equity,1448.87668
QUS US Equity,1461.2097
IEVL LN Equity,1445.05147
XCHA GR Equity,1427.33447
310970 KS Equity,
FCOM US Equity,1436.4914
JREM LN Equity,1431.2635
SMMD US Equity,1429.5969
IWDC SW Equity,1448.11424
MPAB NA Equity,1428.31046
WRDCHA SW Equity,1430.67818
ICLN US Equity,1374.0601
AASI FP Equity,1411.72128
PDP US Equity,1424.6641
SITU CN Equity,1432.33698
1597 JP Equity,1403.4826
SRECHA SW Equity,1400.56071
VGG CN Equity,1422.73799
UIMR GR Equity,1418.69178
UET5 GR Equity,1416.39259
BND US Equity,122000.9793
AGG US Equity,120135.8234
BNDX US Equity,62134.1013
TLT US Equity,52245.1503
VCIT US Equity,48052.1775
BIL US Equity,36803.1688
MBB US Equity,36003.1461
VCSH US Equity,34647.0993
BSV US Equity,33326.7217
IUSB US Equity,32124.22
SGOV US Equity,32047.719
IEF US Equity,31634.2357
VGIT US Equity,30594.576
GOVT US Equity,29545.1859
LQD US Equity,29523.0303
JPST US Equity,28628.2883
SHY US Equity,23170.5988
BIV US Equity,21130.7529
VGSH US Equity,21035.1904
IGSB US Equity,21128.2337
IBTU LN Equity,20452.9272
VMBS US Equity,19554.7022
SHV US Equity,18984.3918
USHY US Equity,19127.7044
JAAA US Equity,18408.2373
USFR US Equity,17637.1545
FBND US Equity,17087.4315
IEI US Equity,15341.5486
HYG US Equity,14624.716
PFF US Equity,14788.2669
IEAC LN Equity,14877.16408
IGIB US Equity,14781.6828
VCLT US Equity,13790.4607
EMB US Equity,13877.9604
TIP US Equity,13380.2076
HGAD LN Equity,11982.8142
MINT US Equity,12285.59
USIG US Equity,12177.2678
VTIP US Equity,12132.5546
SCHP US Equity,11556.1682
SCHO US Equity,11368.9477
STIP US Equity,10840.0668
AGGG LN Equity,10586.95727
SPTL US Equity,10553.2832
IBTS LN Equity,10644.80248
SCHR US Equity,10096.5238
PULS US Equity,9916.9682
VGLT US Equity,9643.4416
BKLN US Equity,9832.7124
SPIB US Equity,9731.6779
00679B TT Equity,
SRLN US Equity,8696.091
SCHZ US Equity,8455.2359
SPSB US Equity,8545.3685
LQDE LN Equity,8307.5359
SPAB US Equity,8116.2442
HGVU LN Equity,8136.7271
FLOT US Equity,8153.5555
00937B TT Equity,
SCHI US Equity,7776.2953
IBTM LN Equity,7725.4749
00687B TT Equity,
JNK US Equity,7729.1285
CSBGU7 SW Equity,7651.0444
IHYG LN Equity,7626.0095
BINC US Equity,7399.0174
SPPU GR Equity,7326.07919
SPHY US Equity,7141.8464
IAGG US Equity,6986.7711
TLH US Equity,6889.2471
IEMB LN Equity,6841.7252
SPTI US Equity,6835.0239
ECRP FP Equity,6704.57216
ZAG CN Equity,6782.42414
TFLO US Equity,6452.527
SDIG LN Equity,6438.2867
SHYG US Equity,6458.844
FTSM US Equity,6261.8571
IDTL LN Equity,6086.1772
DFCF US Equity,5982.2266
GBIL US Equity,5800.6829
FPE US Equity,5779.8503
EUNH GR Equity,5777.36888
XBB CN Equity,5689.78627
SPTS US Equity,5756.2939
SPMB US Equity,5598.1468
IUAG LN Equity,5595.0176
EPSTRINC CN Equity,
BLV US Equity,5429.961
SUOE LN Equity,5504.97505
IHYU LN Equity,5483.394
ICSH US Equity,5253.9532
BOND US Equity,5127.2271
JCPB US Equity,5117.4209
SJNK US Equity,4931.7322
TBIL US Equity,4848.6845
VWOB US Equity,4830.7891
00751B TT Equity,
JMBS US Equity,4746.7145
IGLT LN Equity,4710.52051
LMBS US Equity,4688.1507
ITPS LN Equity,4639.65492
00720B TT Equity,
VDST LN Equity,4608.1599
SE15 LN Equity,4498.37308
PGX US Equity,4454.0979
FIXD US Equity,4423.2332
VUSB US Equity,4483.1595
CWB US Equity,4418.8566
FLOT LN Equity,4374.7454
IGLS LN Equity,4342.68419
VECP LN Equity,4294.9037
ERNE LN Equity,4161.74564
VAGS LN Equity,4251.30913
CORP LN Equity,4213.8999
ISTB US Equity,4243.0416
BSCQ US Equity,4223.8538
CGCP US Equity,4144.8124
CASH CN Equity,4117.21457
00725B TT Equity,
511520 CH Equity,
CSBGU0 SW Equity,3929.4553
BSCP US Equity,3922.2191
DFSD US Equity,3950.8088
00772B TT Equity,
VETY LN Equity,3802.49601
511380 CH Equity,
VAB CN Equity,3751.56353
SYBZ GR Equity,3754.16061
XBLC GR Equity,3748.25831
VUCP LN Equity,3722.20652
EDV US Equity,3600.758
GGOV FP Equity,3711.82777
XGLE GR Equity,3640.74504
EAGG US Equity,3639.061
QDVL GR Equity,3655.49109
